Date,Value
17/5/2015,419738.3697
18/5/2015,329967.7357
19/5/2015,344525.1358
20/5/2015,344525.1358
21/5/2015,344525.1358
22/5/2015,291148.0021
23/5/2015,291148.0021
24/5/2015,349377.6025
25/5/2015,327541.5024
26/5/2015,327541.5024
27/5/2015,320262.8023
28/5/2015,380918.6361
29/5/2015,380918.6361
30/5/2015,356656.3026
31/5/2015,332393.9691
1/6/2015,332393.9691
2/6/2015,335928.1799
3/6/2015,335928.1799
4/6/2015,335928.1799
5/6/2015,380876.3167
6/6/2015,395070.4651
7/6/2015,395070.4651
8/6/2015,383242.0081
9/6/2015,373779.2424
10/6/2015,373779.2424
11/6/2015,321734.0315
12/6/2015,373779.2424
13/6/2015,373779.2424
14/6/2015,370533.2886
15/6/2015,303837.2967
16/6/2015,303837.2967
17/6/2015,380414.1763
18/6/2015,397705.7298
19/6/2015,397705.7298
20/6/2015,301367.0748
21/6/2015,365592.8448
22/6/2015,365592.8448
23/6/2015,373003.5106
24/6/2015,395235.5079
25/6/2015,395235.5079
26/6/2015,316188.4063
27/6/2015,363122.6229
28/6/2015,363122.6229
29/6/2015,351177.61
30/6/2015,356089.185
1/7/2015,356089.185
2/7/2015,397837.5722
3/7/2015,380647.0598
4/7/2015,380647.0598
5/7/2015,417483.872
6/7/2015,363456.5474
7/7/2015,363456.5474
8/7/2015,338898.6726
9/7/2015,383102.8473
10/7/2015,383102.8473
11/7/2015,350384.7518
12/7/2015,368157.8914
13/7/2015,368157.8914
14/7/2015,391009.0709
15/7/2015,345306.7119
16/7/2015,345306.7119
17/7/2015,406243.1905
18/7/2015,363079.8515
19/7/2015,363079.8515
20/7/2015,355462.7917
21/7/2015,373235.9313
22/7/2015,373235.9313
23/7/2015,426555.35
24/7/2015,397611.6003
25/7/2015,397611.6003
26/7/2015,402809.1376
27/7/2015,369025.1454
28/7/2015,369025.1454
29/7/2015,356031.3023
30/7/2015,361228.8395
31/7/2015,361228.8395
1/8/2015,408006.6749
2/8/2015,382018.9886
3/8/2015,382018.9886
4/8/2015,327444.8473
5/8/2015,363827.6082
6/8/2015,363827.6082
7/8/2015,411296.57
8/8/2015,353662.6557
9/8/2015,353662.6557
10/8/2015,442733.2505
11/8/2015,322225.9752
12/8/2015,322225.9752
13/8/2015,351042.9323
14/8/2015,351042.9323
15/8/2015,351042.9323
16/8/2015,385099.3362
17/8/2015,377240.1661
18/8/2015,379859.8895
19/8/2015,398197.9531
20/8/2015,406057.1232
21/8/2015,403437.3998
22/8/2015,412658.0936
23/8/2015,369504.306
24/8/2015,423446.5405
25/8/2015,372201.4177
26/8/2015,418052.317
27/8/2015,401869.6467
28/8/2015,401869.6467
29/8/2015,445023.4343
30/8/2015,388384.0881
31/8/2015,428840.7639
1/9/2015,409960.9819
2/9/2015,415355.2053
3/9/2015,407263.8701
4/9/2015,430369.7695
5/9/2015,427538.3894
6/9/2015,450189.4299
7/9/2015,385067.6885
8/9/2015,393561.8286
9/9/2015,399224.5888
10/9/2015,478503.2305
11/9/2015,489828.7508
12/9/2015,385067.6885
13/9/2015,396393.2087
14/9/2015,450189.4299
15/9/2015,461514.9501
16/9/2015,421875.6293
17/9/2015,399224.5888
18/9/2015,424738.9884
19/9/2015,389344.0727
20/9/2015,353949.157
21/9/2015,389344.0727
22/9/2015,471932.2093
23/9/2015,442436.4463
24/9/2015,427688.5647
25/9/2015,477831.362
26/9/2015,448335.5989
27/9/2015,409991.1069
28/9/2015,510276.7014
29/9/2015,510276.7014
30/9/2015,465548.4317
1/10/2015,377880.2205
2/10/2015,377880.2205
3/10/2015,456479.3064
4/10/2015,447410.1811
5/10/2015,447410.1811
6/10/2015,408110.6381
7/10/2015,414156.7217
8/10/2015,414156.7217
9/10/2015,450433.2228
10/10/2015,453456.2646
11/10/2015,453456.2646
12/10/2015,405087.5964
13/10/2015,459502.3481
14/10/2015,459502.3481
15/10/2015,469115.464
16/10/2015,396478.2309
17/10/2015,396478.2309
18/10/2015,432796.8474
19/10/2015,502407.5292
20/10/2015,384372.0253
21/10/2015,438849.9502
22/10/2015,475168.5668
23/10/2015,466088.9126
24/10/2015,420690.6419
25/10/2015,469115.464
26/10/2015,460035.8099
27/10/2015,478195.1182
28/10/2015,411610.9878
29/10/2015,458010.0135
30/10/2015,507524.6095
31/10/2015,470388.6625
1/11/2015,492051.2982
2/11/2015,448726.0267
3/11/2015,488956.636
4/11/2015,479672.6492
5/11/2015,461104.6757
6/11/2015,423968.7287
7/11/2015,504429.9473
8/11/2015,433252.7154
9/11/2015,454915.3512
10/11/2015,442536.7022
11/11/2015,579380.21
12/11/2015,477906.8399
13/11/2015,546646.8648
14/11/2015,497546.847
15/11/2015,474633.5053
16/11/2015,576106.8755
17/11/2015,527006.8577
18/11/2015,458266.8327
19/11/2015,458266.8327
20/11/2015,520460.1886
21/11/2015,582653.5445
22/11/2015,569560.2064
23/11/2015,523733.5231
24/11/2015,549490.4932
25/11/2015,556720.6312
26/11/2015,585641.1835
27/11/2015,538645.2861
28/11/2015,527800.079
29/11/2015,567565.8383
30/11/2015,542260.3551
1/12/2015,694093.2545
2/12/2015,531415.148
3/12/2015,520569.9409
4/12/2015,527800.079
5/12/2015,621791.8738
6/12/2015,621791.8738
7/12/2015,593762.3031
8/12/2015,625219.9086
9/12/2015,695999.5209
10/12/2015,770711.3338
11/12/2015,688135.1195
12/12/2015,656677.514
13/12/2015,585897.9018
14/12/2015,692067.3202
15/12/2015,758914.7318
16/12/2015,660609.7147
17/12/2015,625219.9086
18/12/2015,629152.1093
19/12/2015,720030.5864
20/12/2015,785065.6071
21/12/2015,715385.2278
22/12/2015,654995.5657
23/12/2015,766484.1726
24/12/2015,692158.4347
25/12/2015,622478.0553
26/12/2015,864036.7037
27/12/2015,905844.9313
28/12/2015,747902.7381
29/12/2015,706094.5105
30/12/2015,803647.0416
31/12/2015,743604.4442
1/1/2016,697129.1664
2/1/2016,707457.0059
3/1/2016,769424.0429
4/1/2016,903685.9565
5/1/2016,841718.9194
6/1/2016,702293.0862
7/1/2016,743604.4442
8/1/2016,903685.9565
9/1/2016,821063.2404
10/1/2016,877866.3577
11/1/2016,877866.3577
12/1/2016,908849.8762
13/1/2016,862135.5394
14/1/2016,743803.2105
15/1/2016,693089.3552
16/1/2016,783247.3201
17/1/2016,783247.3201
18/1/2016,986102.7412
19/1/2016,839596.0482
20/1/2016,822691.4298
21/1/2016,755072.9561
22/1/2016,929754.0131
23/1/2016,1008642.232
24/1/2016,935388.8859
25/1/2016,974832.9956
26/1/2016,978569.9154
27/1/2016,918901.0182
28/1/2016,883099.6798
29/1/2016,1014371.254
30/1/2016,1056139.482
31/1/2016,1068073.261
1/2/2016,1050172.592
2/2/2016,978569.9154
3/2/2016,1038238.813
4/2/2016,1103874.6
5/2/2016,1074040.151
6/2/2016,1139675.938
7/2/2016,1303860.281
8/2/2016,1153414.864
9/2/2016,1210727.404
10/2/2016,1210727.404
11/2/2016,1375500.956
12/2/2016,1139086.729
13/2/2016,1096102.325
14/2/2016,1289532.147
15/2/2016,1060281.987
16/2/2016,1067446.055
17/2/2016,1002969.447
18/2/2016,1289532.147
19/2/2016,1129682.78
20/2/2016,1284099.851
21/2/2016,1024028.995
22/2/2016,1056537.852
23/2/2016,1097173.923
24/2/2016,999647.3525
25/2/2016,1178446.066
26/2/2016,1219082.137
27/2/2016,1064665.066
28/2/2016,1210954.923
29/2/2016,1097173.923
1/3/2016,1040283.424
2/3/2016,1275972.637
3/3/2016,1080919.495
4/3/2016,1235336.566
5/3/2016,1292227.065
6/3/2016,1094688.803
7/3/2016,1220696.147
8/3/2016,1055311.508
9/3/2016,1299450.738
10/3/2016,1267948.902
11/3/2016,1283699.82
12/3/2016,1141941.557
13/3/2016,1189194.311
14/3/2016,1197069.77
15/3/2016,1197069.77
16/3/2016,1338828.033
17/3/2016,1063186.967
18/3/2016,1135311.137
19/3/2016,1110630.46
20/3/2016,1242260.737
21/3/2016,1036588.429
22/3/2016,1225806.952
23/3/2016,1242260.737
24/3/2016,1242260.737
25/3/2016,1192899.383
26/3/2016,1209353.168
27/3/2016,1258714.521
28/3/2016,1168218.706
29/3/2016,1398571.69
30/3/2016,1308075.875
31/3/2016,1028361.537
1/4/2016,1136310.019
2/4/2016,1244135.057
3/4/2016,1219252.356
4/4/2016,1360254.329
5/4/2016,1235840.823
6/4/2016,1285606.226
7/4/2016,1210958.122
8/4/2016,1169486.954
9/4/2016,1343665.862
10/4/2016,1443196.666
11/4/2016,1252429.291
12/4/2016,1260723.524
13/4/2016,1302194.693
