,price(USD),averageDifficulty,cumulative total number of coins,activeAddresses,Daily Hash Rate(Trillions of hashes/s)
1793,7979.07,3.46E+12,16946702.3,565348,26162835.21
1794,7171.45,3.46E+12,16948727.3,570440,27884074.37
1795,6892.48,3.46E+12,16950327.3,479750,22031861.23
1796,7003.06,3.49E+12,16952352.3,423281,28274794.22
1797,6844.86,3.51E+12,16954302.3,494672,27227579.62
1798,7102.26,3.51E+12,16956339.8,594098,28449329.98
1799,7456.41,3.51E+12,16958177.3,568015,25656757.72
1800,6848.65,3.51E+12,16960127.3,536162,27227579.62
1801,6815.96,3.51E+12,16961852.3,640379,24085935.81
1802,6630.51,3.51E+12,16964102.3,499530,31416438.02
1803,6919.98,3.51E+12,16966114.8,404622,28100258.45
1804,7044.32,3.51E+12,16967952.3,543836,25656757.72
1805,6795.44,3.51E+12,16970002.3,565732,28623865.75
1806,6843.47,3.51E+12,16972014.8,539442,28100258.45
1807,6955.38,3.51E+12,16973939.8,617410,26878508.08
1808,7901.09,3.51E+12,16976002.3,646935,28798401.52
1809,7874.67,3.8E+12,16977714.8,493659,26146926.52
1810,7999.33,3.84E+12,16979752.3,587020,31109116.95
1811,8337.57,3.84E+12,16981514.8,738315,26910340.43
1812,8071.66,3.84E+12,16983539.8,608590,30918263.48
1813,7944.43,3.84E+12,16985539.8,589421,30536556.52
1814,8159.27,3.84E+12,16987764.8,644595,33971919.13
1815,8286.88,3.84E+12,16989477.3,653018,26146926.52
1816,8848.79,3.84E+12,16991464.8,620016,30345703.04
1817,8925.06,3.84E+12,16993464.8,509559,30536556.52
1818,8794.39,3.84E+12,16995377.3,642656,29200582.17
1819,8934.34,3.84E+12,16997364.8,774318,30345703.04
1820,9701.03,3.84E+12,16998902.3,688680,23474977.82
1821,8867.32,3.84E+12,17000664.8,660414,26910340.43
1822,9290.63,3.94E+12,17002439.8,675804,28391145.89
1823,8939.27,4.02E+12,17004039.8,562250,25592018.83
1824,9346.41,4.02E+12,17006014.8,541897,31590148.24
1825,9426.11,4.02E+12,17007952.3,642134,30990335.3
1826,9251.47,4.02E+12,17009927.3,632650,31590148.24
1827,9104.6,4.02E+12,17011677.3,683386,27991270.6
1828,9233.97,4.02E+12,17013564.8,663171,30190584.71
1829,9695.5,4.02E+12,17015289.8,695603,27591395.3
1830,9700.28,4.02E+12,17017302.3,625693,32189961.18
1831,9845.31,4.02E+12,17019014.8,533415,27391457.65
1832,9645.67,4.02E+12,17020889.8,660191,29990647.07
1833,9380.87,4.02E+12,17022627.3,665088,27791332.95
1834,9223.73,4.02E+12,17024627.3,612055,31990023.54
1835,9325.96,4.02E+12,17026552.3,617388,30790397.65
1836,9052.96,4.14E+12,17028139.8,758816,26161151.17
1837,8441.44,4.14E+12,17030202.3,588539,33988897.19
1838,8515.49,4.14E+12,17032052.3,483628,30487010.81
1839,8713.1,4.14E+12,17033702.3,636148,27191117.75
1840,8705.19,4.14E+12,17035527.3,640177,30075024.18
1841,8504.41,4.14E+12,17037764.8,604422,36872803.62
1842,8370.05,4.14E+12,17039414.8,629548,27191117.75
1843,8091.83,4.14E+12,17041264.8,703271,30487010.81
1844,8255.73,4.14E+12,17043189.8,514455,31722970.71
1845,8246.99,4.14E+12,17044989.8,475738,29663037.55
1846,8522.33,4.14E+12,17046952.3,622918,32340950.66
1847,8419.87,4.14E+12,17048839.8,588253,31104990.76
1848,8037.08,4.14E+12,17050864.8,640762,33370917.24
1849,7561.12,4.22E+12,17052652.3,569804,30616246.32
1850,7592.3,4.31E+12,17054852.3,618176,37681533.93
1851,7486.48,4.31E+12,17056877.3,467761,34684139.19
1852,7362.08,4.31E+12,17058927.3,442647,35112338.44
1853,7371.31,4.31E+12,17060877.3,589218,33399541.44
1854,7129.46,4.31E+12,17062614.8,604757,29759847.82
1855,7469.73,4.31E+12,17064789.8,592865,37253334.68
1856,7406.15,4.31E+12,17066914.8,627768,36396936.18
1857,7500.7,4.31E+12,17068989.8,692509,35540537.68
1858,7536.72,4.31E+12,17070889.8,521910,32543142.94
1859,7632.09,4.31E+12,17072927.3,531463,34898238.81
1860,7722.53,4.31E+12,17075214.8,702904,39180231.3
1861,7500.9,4.42E+12,17077402.3,655694,42980660.1
1862,7625.97,4.94E+12,17079239.8,651145,36103754.49
1863,7650.82,4.94E+12,17081027.3,634103,35121339.4
1864,7685.14,4.94E+12,17082833.55,648973,35612546.94
1865,7632.52,4.94E+12,17084621.05,492526,35121339.4
1866,7499.55,4.94E+12,17086208.55,529728,31191679.05
1867,6799.29,4.94E+12,17087958.55,587881,34384528.08
1868,6905.82,4.94E+12,17089771.05,654022,35612546.94
1869,6596.88,4.94E+12,17091558.55,658357,35121339.4
1870,6342.75,4.94E+12,17093471.05,583318,37577377.12
1871,6674.08,4.94E+12,17095383.55,629466,37577377.12
1872,6455.45,4.94E+12,17097458.55,442345,40770226.16
1873,6545.53,4.94E+12,17099421.05,436137,38559792.21
1874,6510.07,4.94E+12,17101471.05,574922,40279018.61
1875,6742.39,5.02E+12,17103408.55,621857,39122596.14
1876,6770.76,5.08E+12,17105346.05,585078,39122596.14
1877,6780.09,5.08E+12,17107471.05,562602,42908653.83
1878,6737.88,5.08E+12,17109358.55,618791,38112980.76
1879,6090.1,5.08E+12,17111358.55,483230,40384615.37
1880,6164.28,5.08E+12,17113496.05,456995,43161057.68
1881,6171.97,5.08E+12,17115458.55,614032,39627403.83
1882,6253.55,5.08E+12,17117283.55,612977,36850961.53
1883,6084.4,5.08E+12,17118796.05,589279,30540865.37
1884,6153.16,5.08E+12,17120758.55,555077,39627403.83
1885,5898.13,5.08E+12,17122646.05,589876,38112980.76
1886,6214.22,5.08E+12,17124408.55,567603,35588942.3
1887,6411.68,5.08E+12,17126246.05,483872,37103365.37
1888,6380.38,5.17E+12,17128008.55,638283,37594816.26
1889,6596.66,5.36E+12,17153908.55,659326,30929068.69
1890,6550.87,5.36E+12,17155583.55,609579,35728406.94
1891,6599.71,5.36E+12,17157296.05,545559,36528296.65
1892,6638.69,5.36E+12,17159296.05,647794,42660784.4
1893,6668.71,5.36E+12,17161246.05,473901,41594264.79
1894,6857.8,5.36E+12,17163221.05,492262,42127524.6
1895,6775.08,5.36E+12,17164921.05,627020,36261666.74
1896,6739.21,5.36E+12,17166783.55,666042,39727855.48
1897,6330.77,5.36E+12,17168471.05,616214,35995036.84
1898,6396.78,5.36E+12,17170233.55,944272,37594816.26
1899,6235.03,5.36E+12,17172021.05,933538,38128076.06
1900,6247.5,5.36E+12,17173683.55,809623,35461777.04
1901,6272.7,5.36E+12,17175346.05,509930,35461777.04
1902,6357.01,5.36E+12,17176846.05,583692,31995588.3
1903,6739.65,5.2E+12,17152458.55,688584,40931868.49
1904,7315.32,5.18E+12,17130183.55,770835,44793365.52
1905,7378.2,5.18E+12,17132321.05,636864,44021066.11
1906,7467.4,5.18E+12,17134246.05,651803,39644702.82
1907,7352.72,5.18E+12,17135958.55,505481,35268339.52
1908,7417.8,5.18E+12,17138233.55,458207,46852830.6
1909,7414.71,5.18E+12,17140308.55,711253,42733900.44
1910,7716.51,5.18E+12,17142296.05,718928,40931868.49
1911,8379.66,5.18E+12,17144508.55,776511,45565664.92
1912,8176.85,5.18E+12,17146571.05,639897,42476467.3
